Names	OrigNames (Clades) 	Clades
Dendroctonus_ponderosae	Dendroctonus_ponderosae (Coleoptera) 	Coleoptera
Meloe_violaceus	Meloe_violaceus (Coleoptera) 	Coleoptera
TRIBOLIUM_CASTANEUM	Tribolium_castaneum (Coleoptera) 	Coleoptera
Aleochara_curtula	Aleochara_curtula (Coleoptera) 	Coleoptera
Lepicerus_sp	Lepicerus_sp (Coleoptera) 	Coleoptera
Priacma_serrata	Priacma_serrata (Coleoptera) 	Coleoptera
Carabus_granulatus	Carabus_granulatus (Coleoptera) 	Coleoptera
Gyrinus_marinus	Gyrinus_marinus (Coleoptera) 	Coleoptera
Conwentzia_psociformis	Conwentzia_psociformis (Neuropterida) 	Neuropterida
Xanthostigma_xanthostigma	Xanthostigma_xanthostigma (Neuropterida) 	Neuropterida
Inocellia_crassicornis	Inocellia_crassicornis (Neuropterida) 	Neuropterida
Corydalus_cornutus	Corydalus_cornutus (Neuropterida) 	Neuropterida
Sialis_lutaria	Sialis_lutaria (Neuropterida) 	Neuropterida
Osmylus_fulvicephalus	Osmylus_fulvicephalus (Neuropterida) 	Neuropterida
Euroleon_nostras	Euroleon_nostras (Neuropterida) 	Neuropterida
Dichochrysa_prasina	Dichochrysa_prasina (Neuropterida) 	Neuropterida
Hydroptilidae_sp	Hydroptilidae_sp (Trichoptera) 	Trichoptera
Rhyacophila_fasciata	Rhyacophila_fasciata (Trichoptera) 	Trichoptera
Platycentropus_radiatus	Platycentropus_radiatus (Trichoptera) 	Trichoptera
Cheumatopsyche_sp	Cheumatopsyche_sp (Trichoptera) 	Trichoptera
Philopotamus_ludificatus	Philopotamus_ludificatus (Trichoptera) 	Trichoptera
Micropterix_calthella	Micropterix_calthella (Lepidoptera) 	Lepidoptera
Eriocrania_subpurpurella	Eriocrania_subpurpurella (Lepidoptera) 	Lepidoptera
Triodia_sylvina	Triodia_sylvina (Lepidoptera) 	Lepidoptera
Nemophora_deegerella	Nemophora_deegerella (Lepidoptera) 	Lepidoptera
Yponomeuta_evonymella	Yponomeuta_evonymella (Lepidoptera) 	Lepidoptera
Zygaena_fausta	Zygaena_fausta (Lepidoptera) 	Lepidoptera
BOMBYX_MORI	Bombyx_mori (Lepidoptera) 	Lepidoptera
Manduca_sexta	Manduca_sexta (Lepidoptera) 	Lepidoptera
Parides_arcas	Parides_arcas (Lepidoptera) 	Lepidoptera
Polyommatus_icarus	Polyommatus_icarus (Lepidoptera) 	Lepidoptera
Ceratophyllus_gallinae	Ceratophyllus_gallinae (Siphonaptera) 	Siphonaptera
Ctenocephalides_felis	Ctenocephalides_felis (Siphonaptera) 	Siphonaptera
Archaeopsylla_erinacei	Archaeopsylla_erinacei (Siphonaptera) 	Siphonaptera
Nannochorista_philpotti	Nannochorista_philpotti (Mecoptera) 	Mecoptera
Boreus_hyemalis	Boreus_hyemalis (Mecoptera) 	Mecoptera
Panorpa_vulgaris	Panorpa_vulgaris (Mecoptera) 	Mecoptera
Bittacus_pilicornis	Bittacus_pilicornis (Mecoptera) 	Mecoptera
ANOPHELES_GAMBIAE	Anopheles_gambiae (Diptera) 	Diptera
Aedes_AEGYpti	Aedes_aegypti (Diptera) 	Diptera
Phlebotomus_papatasi	Phlebotomus_papatasi (Diptera) 	Diptera
Bibio_marci	Bibio_marci (Diptera) 	Diptera
Trichocera_fuscata	Trichocera_fuscata (Diptera) 	Diptera
Tipula_maxima	Tipula_maxima (Diptera) 	Diptera
Bombylius_major	Bombylius_major (Diptera) 	Diptera
DROSOPHILA_MELANOGASTER	Drosophila_melanogaster (Diptera) 	Diptera
Lipara_lucens	Lipara_lucens (Diptera) 	Diptera
Rhagoletis_pomonella	Rhagoletis_pomonella (Diptera) 	Diptera
Glossina_morsitans	Glossina_morsitans (Diptera) 	Diptera
Triarthria_setipennis	Triarthria_setipennis (Diptera) 	Diptera
Sarcophaga_crassipalpis	Sarcophaga_crassipalpis (Diptera) 	Diptera
Stylops_melittae	Stylops_melittae (Strepsiptera) 	Strepsiptera
Mengenilla_moldrzyki	Mengenilla_moldrzyki (Strepsiptera) 	Strepsiptera
Tenthredo_koehleri	Tenthredo_koehleri (Hymenoptera) 	Hymenoptera
Cotesia_vestalis	Cotesia_vestalis (Hymenoptera) 	Hymenoptera
NASONIA_VITRIPENNIS	Nasonia_vitripennis (Hymenoptera) 	Hymenoptera
Leptopilina_clavipes	Leptopilina_clavipes (Hymenoptera) 	Hymenoptera
Orussus_abietinus	Orussus_abietinus (Hymenoptera) 	Hymenoptera
Chrysis_viridula	Chrysis_viridula (Hymenoptera) 	Hymenoptera
ACROMYRMEX_ECHINATIOR	Acromyrmex_echinatior (Hymenoptera) 	Hymenoptera
Harpegnathos_SALTator	Harpegnathos_saltator (Hymenoptera) 	Hymenoptera
Exoneura_robusta	Exoneura_robusta (Hymenoptera) 	Hymenoptera
Bombus_terrestris	Bombus_terrestris (Hymenoptera) 	Hymenoptera
APIS_MELLIFERA	Apis_mellifera (Hymenoptera) 	Hymenoptera
Ectopsocus_briggsi	Ectopsocus_briggsi (Psocodea) 	Psocodea
Liposcelis_bostrychophila	Liposcelis_bostrychophila (Psocodea) 	Psocodea
PEDICULUS_HUMANUS	Pediculus_humanus (Psocodea) 	Psocodea
Menopon_gallinae	Menopon_gallinae (Psocodea) 	Psocodea
Gynaikothrips_ficorum	Gynaikothrips_ficorum (Thysanoptera) 	Thysanoptera
Frankliniella_cephalica	Frankliniella_cephalica (Thysanoptera) 	Thysanoptera
Thrips_palmi	Thrips_palmi (Thysanoptera) 	Thysanoptera
Acanthocasuarina_muellerianae	Acanthocasuarina_muellerianae (Hemiptera) 	Hemiptera
Bemisia_tabaci	Bemisia_tabaci (Hemiptera) 	Hemiptera
Trialeurodes_vaporariorum	Trialeurodes_vaporariorum (Hemiptera) 	Hemiptera
Planococcus_citri	Planococcus_citri (Hemiptera) 	Hemiptera
Essigella_californica	Essigella_californica (Hemiptera) 	Hemiptera
ACYRTOSIPHON_PISUM	Acyrtosiphon_pisum (Hemiptera) 	Hemiptera
Aphis_gossypii	Aphis_gossypii (Hemiptera) 	Hemiptera
Nilaparvata_lugens	Nilaparvata_lugens (Hemiptera) 	Hemiptera
Xenophysella_greensladeae	Xenophysella_greensladeae (Hemiptera) 	Hemiptera
Cercopis_vulnerata	Cercopis_vulnerata (Hemiptera) 	Hemiptera
Okanagana_villosa	Okanagana_villosa (Hemiptera) 	Hemiptera
Velia_caprai	Velia_caprai (Hemiptera) 	Hemiptera
Ranatra_linearis	Ranatra_linearis (Hemiptera) 	Hemiptera
Notostira_elongata	Notostira_elongata (Hemiptera) 	Hemiptera
Acanthosoma_haemorrhoidale	Acanthosoma_haemorrhoidale (Hemiptera) 	Hemiptera
Baetis_pumilus	Baetis_pumilus (Ephemeroptera) 	Ephemeroptera
Isonychia_bicolor	Isonychia_bicolor (Ephemeroptera) 	Ephemeroptera
Eurylophella_sp	Eurylophella_sp (Ephemeroptera) 	Ephemeroptera
Ephemera_danica	Ephemera_danica (Ephemeroptera) 	Ephemeroptera
Machilis_hrabei	Machilis_hrabei (Archaeognatha/microcoryphia) 	Archaeognatha/microcoryphia
Meinertellus_cundinamarcensis	Meinertellus_cundinamarcensis (Archaeognatha/microcoryphia) 	Archaeognatha/microcoryphia
Occasjapyx_japonicus	Occasjapyx_japonicus (Diplura) 	Diplura
Campodea_augens	Campodea_augens (Diplura) 	Diplura
Tetrodontophora_bielanensis	Tetrodontophora_bielanensis (Collembola) 	Collembola
Anurida_maritima	Anurida_maritima (Collembola) 	Collembola
Sminthurus_vir_nig	Sminthurus_vir_nig (Collembola) 	Collembola
Folsomia_candida	Folsomia_candida (Collembola) 	Collembola
Pogonognathellus_lon_fla	Pogonognathellus_lon_fla (Collembola) 	Collembola
Acerentomon_sp	Acerentomon_sp (Protura) 	Protura
Speleonectes_tulumensis	Speleonectes_tulumensis (Outgroup) 	Outgroup
DAPHNIA_PULEX	Daphnia_pulex (Outgroup) 	Outgroup
IXODES_SCAPULARIS	Ixodes_scapularis (Outgroup) 	Outgroup
Glomeris_pustulata	Glomeris_pustulata (Outgroup) 	Outgroup
Symphylella_vulgaris	Symphylella_vulgaris (Outgroup) 	Outgroup
Cypridininae_sp	Cypridininae_sp (Outgroup) 	Outgroup
Lepeophtheirus_salmonis	Lepeophtheirus_salmonis (Outgroup) 	Outgroup
Sarsinebalia_urgorii	Sarsinebalia_urgorii (Outgroup) 	Outgroup
Litopenaeus_vannamei	Litopenaeus_vannamei (Outgroup) 	Outgroup
Celuca_puligator	Celuca_puligator (Outgroup) 	Outgroup
Calopteryx_splendens	Calopteryx_splendens (Odonata) 	Odonata
Cordulegaster_boltonii	Cordulegaster_boltonii (Odonata) 	Odonata
Epiophlebia_superstes	Epiophlebia_superstes (Odonata) 	Odonata
Tricholepidion_gertschi	Tricholepidion_gertschi (Thysanura/zygentoma) 	Thysanura/zygentoma
Atelura_formicaria	Atelura_formicaria (Thysanura/zygentoma) 	Thysanura/zygentoma
Thermobia_domestica	Thermobia_domestica (Thysanura/zygentoma) 	Thysanura/zygentoma
Apachyus_charteceus	Apachyus_charteceus (Dermaptera) 	Dermaptera
Forficula_auricularia	Forficula_auricularia (Dermaptera) 	Dermaptera
Zorotypus_caudelli	Zorotypus_caudelli (Zoraptera) 	Zoraptera
