ID	DS	MONO	BOOT	CLADE
not-removed-with-filtering	AA	IS_MONO	1.0	internalNode6
not-removed-with-filtering	AA	IS_MONO	1.0	Coleoptera
not-removed-with-filtering	AA	IS_MONO	1.0	Mecoptera
not-removed-with-filtering	AA	IS_MONO	1.0	Lepidoptera
not-removed-with-filtering	AA	IS_MONO	1.0	Siphonaptera
not-removed-with-filtering	AA	IS_MONO	1.0	Collembola
not-removed-with-filtering	AA	IS_MONO	1.0	Orthoptera
not-removed-with-filtering	AA	IS_MONO	1.0	internalNode1
not-removed-with-filtering	AA	IS_MONO	1.0	Dermaptera
not-removed-with-filtering	AA	IS_MONO	1.0	Hymenoptera
not-removed-with-filtering	AA	IS_MONO	1.0	Thysanoptera
not-removed-with-filtering	AA	IS_MONO	1.0	Phasmida phasmatodea
not-removed-with-filtering	AA	IS_MONO	1.0	Trichoptera
not-removed-with-filtering	AA	IS_MONO	1.0	Ephemeroptera
not-removed-with-filtering	AA	IS_MONO	1.0	internalNode4
not-removed-with-filtering	AA	IS_MONO	1.0	internalNode5
not-removed-with-filtering	AA	IS_MONO	1.0	Hemiptera
not-removed-with-filtering	AA	IS_MONO	1.0	internalNode7
not-removed-with-filtering	AA	IS_MONO	1.0	Embiidina
not-removed-with-filtering	AA	IS_MONO	1.0	internalNode2
not-removed-with-filtering	AA	IS_MONO	1.0	internalNode3
not-removed-with-filtering	AA	NO_CLADE	None	Protura
not-removed-with-filtering	AA	IS_MONO	1.0	internalNode8
not-removed-with-filtering	AA	NO_CLADE	None	Zoraptera
not-removed-with-filtering	AA	IS_MONO	1.0	internalNode9
not-removed-with-filtering	AA	IS_MONO	1.0	Odonata
not-removed-with-filtering	AA	NO_CLADE	None	Mantophasmatodea
not-removed-with-filtering	AA	IS_MONO	1.0	Plecoptera
not-removed-with-filtering	AA	IS_MONO	1.0	Diptera
not-removed-with-filtering	AA	CAN_MONO	1.0	Outgroup
not-removed-with-filtering	AA	IS_MONO	1.0	internalNode16
not-removed-with-filtering	AA	IS_MONO	1.0	Blattodea
not-removed-with-filtering	AA	IS_MONO	None	All
not-removed-with-filtering	AA	IS_MONO	1.0	internalNode15
not-removed-with-filtering	AA	IS_MONO	1.0	internalNode12
not-removed-with-filtering	AA	IS_MONO	1.0	internalNode10
not-removed-with-filtering	AA	IS_MONO	1.0	Diplura
not-removed-with-filtering	AA	NOT_MONO	1.0	internalNode11
not-removed-with-filtering	AA	IS_MONO	1.0	Strepsiptera
not-removed-with-filtering	AA	IS_MONO	1.0	Archaeognatha microcoryphia
not-removed-with-filtering	AA	IS_MONO	1.0	Grylloblattodea
not-removed-with-filtering	AA	IS_MONO	1.0	internalNode14
not-removed-with-filtering	AA	IS_MONO	1.0	Mantodea
not-removed-with-filtering	AA	IS_MONO	1.0	Thysanura zygentoma
not-removed-with-filtering	AA	IS_MONO	1.0	Psocodea
not-removed-with-filtering	AA	IS_MONO	1.0	internalNode13
not-removed-with-filtering	AA	IS_MONO	1.0	Neuropterida
