ID	DS	MONO	BOOT	CLADE
not-removed-with-filtering	AA	IS_MONO	1	internalNode6
not-removed-with-filtering	AA	IS_MONO	1	Coleoptera
not-removed-with-filtering	AA	IS_MONO	1	Mecoptera
not-removed-with-filtering	AA	IS_MONO	1	Lepidoptera
not-removed-with-filtering	AA	IS_MONO	1	Siphonaptera
not-removed-with-filtering	AA	IS_MONO	1	Collembola
not-removed-with-filtering	AA	IS_MONO	1	Orthoptera
not-removed-with-filtering	AA	IS_MONO	1	internalNode1
not-removed-with-filtering	AA	IS_MONO	1	Dermaptera
not-removed-with-filtering	AA	IS_MONO	1	Hymenoptera
not-removed-with-filtering	AA	IS_MONO	1	Thysanoptera
not-removed-with-filtering	AA	IS_MONO	1	Phasmida phasmatodea
not-removed-with-filtering	AA	IS_MONO	1	Trichoptera
not-removed-with-filtering	AA	IS_MONO	1	Ephemeroptera
not-removed-with-filtering	AA	IS_MONO	1	internalNode4
not-removed-with-filtering	AA	IS_MONO	1	internalNode5
not-removed-with-filtering	AA	IS_MONO	1	Hemiptera
not-removed-with-filtering	AA	IS_MONO	1	internalNode7
not-removed-with-filtering	AA	IS_MONO	1	Embiidina
not-removed-with-filtering	AA	IS_MONO	1	internalNode2
not-removed-with-filtering	AA	IS_MONO	1	internalNode3
not-removed-with-filtering	AA	NO_CLADE	None	Protura
not-removed-with-filtering	AA	IS_MONO	1	internalNode8
not-removed-with-filtering	AA	NO_CLADE	None	Zoraptera
not-removed-with-filtering	AA	IS_MONO	1	internalNode9
not-removed-with-filtering	AA	IS_MONO	1	Odonata
not-removed-with-filtering	AA	NO_CLADE	None	Mantophasmatodea
not-removed-with-filtering	AA	IS_MONO	1	Plecoptera
not-removed-with-filtering	AA	IS_MONO	1	Diptera
not-removed-with-filtering	AA	NOT_MONO	1	Outgroup
not-removed-with-filtering	AA	IS_MONO	1	internalNode16
not-removed-with-filtering	AA	IS_MONO	1	Blattodea
not-removed-with-filtering	AA	IS_MONO	None	All
not-removed-with-filtering	AA	IS_MONO	1	internalNode15
not-removed-with-filtering	AA	IS_MONO	1	internalNode12
not-removed-with-filtering	AA	IS_MONO	1	internalNode10
not-removed-with-filtering	AA	IS_MONO	1	Diplura
not-removed-with-filtering	AA	NOT_MONO	1	internalNode11
not-removed-with-filtering	AA	IS_MONO	1	Strepsiptera
not-removed-with-filtering	AA	IS_MONO	1	Archaeognatha microcoryphia
not-removed-with-filtering	AA	IS_MONO	1	Grylloblattodea
not-removed-with-filtering	AA	IS_MONO	1	internalNode14
not-removed-with-filtering	AA	IS_MONO	1	Mantodea
not-removed-with-filtering	AA	IS_MONO	1	Thysanura zygentoma
not-removed-with-filtering	AA	IS_MONO	1	Psocodea
not-removed-with-filtering	AA	IS_MONO	1	internalNode13
not-removed-with-filtering	AA	IS_MONO	1	Neuropterida
