ID,Acanthocasuarina_muellerianae,Acanthosoma_haemorrhoidale,Acerentomon_sp,ACROMYRMEX_ECHINATIOR,ACYRTOSIPHON_PISUM,Aedes_AEGYpti,Aleochara_curtula,ANOPHELES_GAMBIAE,Anurida_maritima,Apachyus_charteceus,Aphis_gossypii,APIS_MELLIFERA,Aposthonia_japonica,Archaeopsylla_erinacei,Aretaon_asperrimus,Atelura_formicaria,Baetis_pumilus,Bemisia_tabaci,Bibio_marci,Bittacus_pilicornis,Blaberus_atropos,Bombus_terrestris,Bombylius_major,BOMBYX_MORI,Boreus_hyemalis,Calopteryx_splendens,Campodea_augens,Carabus_granulatus,Celuca_puligator,Ceratophyllus_gallinae,Cercopis_vulnerata,Ceuthophilus_sp,Cheumatopsyche_sp,Chrysis_viridula,Conwentzia_psociformis,Cordulegaster_boltonii,Corydalus_cornutus,Cosmioperla_kuna,Cotesia_vestalis,Cryptocercus_wrighti,Ctenocephalides_felis,Cypridininae_sp,DAPHNIA_PULEX,Dendroctonus_ponderosae,Dichochrysa_prasina,DROSOPHILA_MELANOGASTER,Ectopsocus_briggsi,Empusa_pennata,Ephemera_danica,Epiophlebia_superstes,Eriocrania_subpurpurella,Essigella_californica,Euroleon_nostras,Eurylophella_sp,Exoneura_robusta,Folsomia_candida,Forficula_auricularia,Frankliniella_cephalica,Galloisiana_yuasai,Glomeris_pustulata,Glossina_morsitans,Grylloblatta_bifratrilecta,Gryllotalpa_sp,Gynaikothrips_ficorum,Gyrinus_marinus,Haploembia_palaui,Harpegnathos_SALTator,Hydroptilidae_sp,Inocellia_crassicornis,Isonychia_bicolor,IXODES_SCAPULARIS,Lepeophtheirus_salmonis,Lepicerus_sp,Leptopilina_clavipes,Leuctra_sp,Lipara_lucens,Liposcelis_bostrychophila,Litopenaeus_vannamei,Machilis_hrabei,Manduca_sexta,Mantis_religiosa,Mastotermes_darwiniensis,Meinertellus_cundinamarcensis,Meloe_violaceus,Mengenilla_moldrzyki,Menopon_gallinae,Metallyticus_splendidus,Micropterix_calthella,Nannochorista_philpotti,NASONIA_VITRIPENNIS,Nemophora_deegerella,Nilaparvata_lugens,Notostira_elongata,Occasjapyx_japonicus,Okanagana_villosa,Orussus_abietinus,Osmylus_fulvicephalus,Panorpa_vulgaris,Parides_arcas,PEDICULUS_HUMANUS,Periplaneta_americana,Perla_marginata,Peruphasma_schultei,Philopotamus_ludificatus,Phlebotomus_papatasi,Planococcus_citri,Platycentropus_radiatus,Pogonognathellus_lon_fla,Polyommatus_icarus,Priacma_serrata,Prorhinotermes_simplex,Prosarthria_teretrirostris,Ranatra_linearis,Rhagoletis_pomonella,Rhyacophila_fasciata,Sarcophaga_crassipalpis,Sarsinebalia_urgorii,Sialis_lutaria,Sminthurus_vir_nig,Speleonectes_tulumensis,Stenobothrus_lineatus,Stylops_melittae,Symphylella_vulgaris,Tanzaniophasma_sp,Tenthredo_koehleri,Tetrix_subulata,Tetrodontophora_bielanensis,Thermobia_domestica,Thrips_palmi,Timema_cristinae,Tipula_maxima,Trialeurodes_vaporariorum,Triarthria_setipennis,TRIBOLIUM_CASTANEUM,Trichocera_fuscata,Tricholepidion_gertschi,Triodia_sylvina,Velia_caprai,Xanthostigma_xanthostigma,Xenophysella_greensladeae,Yponomeuta_evonymella,ZOOTERMOPSIS_NEVADENSIS,Zorotypus_caudelli,Zygaena_fausta
ALICUT_EOG500005,0.499999,0.49874,0.219143,0.050379,0.010075,0.500001,0.105794,0.0226699999999999,0.498741,0.49874,0.79597,0.0541569999999999,0.445844,NA,0.202771,NA,0.498741,0.607052,0.685138,0.666246,0.38917,0.41058,0.768262,0.171284,0.500001,0.547859,0.573048,0.511335,NA,0.5,0.525189,0.568011,0.352644,0.050378,0.498741,0.00881599999999999,0.011336,0.896725,0.574307,0.00755599999999995,0.0088160000000001,NA,0.011336,0.489924,0.49874,0.00629800000000005,0.479849,0.500001,0.555415,0.5,0.498741,0.532746,0.537783,0.498739,0.333753,0.570529,0.261965,0.40806,0.426953,0.835014,0.537783,0.779596,0.49748,0.489925,0.525189,0.423173,0.508815,NA,0.0478579999999999,0.49874,0.0415619999999999,0.484887,0.585641,0.508816,0.49874,0.497481,0.010076,NA,0.5,NA,0.211587,0.0516369999999999,0.630982,0.0415619999999999,0.934509,0.00755700000000004,0.5,NA,0.710328,0.104535,0.49874,0.459698,0.735516,0.497481,0.617129,0.261965,0.00755600000000006,0.308565,0.376575,0.00755599999999995,0.0075569999999999,0.770781,0.499999,NA,NA,NA,0.308564,0.50126,0.589421,0.666247,0.00755699999999992,0.764483,0.852645,NA,0.498741,NA,NA,0.617128,0.502518,NA,0.5,0.333753,0.63728,0.448362,0.508816,0.49874,0.256927,0.00881699999999996,0.508816,0.500001,0.759446,0.753149,0.497481,0.00755600000000001,0.129724,0.566751,0.498741,0.5,0.403022,0.65995,0.49874,0.00755699999999992,0.390429,0.666247
ALICUT_EOG50000C,0.175879,0.555276,0.437185,0.012563,0.015075,0.271357,0.0201009999999999,0.025125,0.253768,0.17588,NA,0.080402,0.0150750000000001,0.394472,0.640705,NA,0.447237,0.115577,0.595477,0.831659,0.0326640000000001,0.266331,0.633167,0.170855,0.012563,0.268844,0.658292,0.444724,NA,0.228643,0.291458,0.469849,0.236181,0.020101,0.0201009999999999,0.153267,0.366834,0.48995,0.386934,0.015076,0.0201,NA,0.0175890000000001,0.703518,0.0201,0.015076,0.517588,0.452261,0.221106,0.452262,0.454773,0.077889,0.035176,0.286432,0.826633,0.276382,0.0376890000000001,0.324121,0.0351750000000001,0.851758,0.567839,0.567839,0.211055,0.417086,0.0150750000000001,0.582914,0.0276389999999999,0.022613,0.027638,0.462312,0.344222,0.467336,0.0778900000000001,0.020101,0.22613,0.0201009999999999,0.29397,NA,0.291458,0.650753,0.075376,0.552763,0.263818,0.015075,0.844222,0.721105,0.733669,NA,0.286432,0.0100499999999999,0.208544,0.057789,0.293969,0.321608,NA,0.030151,0.025126,0.221105,0.213568,0.133166,0.505025,0.211056,0.457286,0.726131,NA,0.30402,0.562814,0.459799,0.170854,0.688442,0.231156,0.268844,0.286433,NA,0.756282,0.924623,NA,0.809045,0.464824,0.788944,0.286432,0.547738,0.683418,0.552765,0.0326649999999999,0.572864,0.271357,0.138191,0.047738,0.653266,0.723618,0.281408,0.0201000000000001,0.022612,0.688442,0.515075,0.231157,0.306532,0.012564,0.243719,0.645728,0.012563,0.0402,0.638191
ALICUT_EOG50000K,0.118644,0.048022,0.036723,0.0395490000000001,0.0790959999999999,0.324858,0.0367230000000001,0.0338980000000001,NA,0.110169,0.672317,0.0395479999999999,0.079096,0.254238,0.079096,NA,0.477402,0.680791,0.661016,0.694915,0.392656,0.039548,0.033899,0.0395489999999999,0.367231,0.658192,0.884181,0.483052,0.768362,NA,0.355932,0.180791,0.045198,0.036723,0.327684,0.454803,0.056496,0.635594,0.0395470000000001,0.093221,0.327683,NA,0.025424,0.045198,0.322034,0.0338980000000001,0.584745,0.827684,0.087571,0.590396,0.440678,0.161016,0.0395490000000001,0.0762709999999999,0.58192,0.327684,0.384181,0.367231,0.19209,0.802259,0.138418,0.621469,0.0762710000000001,0.378531,0.562148,0.353107,0.0395470000000001,0.070622,0.0367219999999999,0.09887,0.129943,0.341808,0.0367230000000001,0.0395470000000001,0.067797,0.324859,0.262712,0.485875,0.079096,0.579096,0.183616,0.155368,0.0790960000000001,0.0423729999999999,NA,0.364407,0.60452,NA,0.107344,0.0621470000000001,0.0508479999999999,0.070621,0.364407,0.336158,0.189265,0.0423740000000001,0.0367239999999998,0.087571,0.045198,0.271186,0.432204,0.079096,0.206215,0.449153,0.324858,0.107344,0.107345,0.324859,0.378532,0.680791,0.0790960000000001,0.0790960000000001,0.107344,NA,0.556497,0.652542,NA,0.0367220000000001,0.327684,NA,0.200565,0.327684,NA,0.361582,0.0367240000000001,0.194916,0.324859,0.0734460000000001,0.036723,0.073446,0.324858,0.754237,0.324859,0.042373,0.324858,0.0790949999999999,0.0367230000000001,0.387005,0.036724,0.076271,0.039547,0.079096,0.129944,0.206215
ALICUT_EOG50001C,0.025478,0.025478,0.0445860000000001,0.044587,0.0127389999999999,0.0254770000000001,0.031848,0.031847,0.082803,0.292993,0.012738,0.0254769999999999,0.050956,NA,0.031847,NA,0.178345,0.267516,0.063695,0.050956,0.324841,0.0254779999999999,0.012738,0.0254770000000001,0.031847,0.025478,0.025477,0.0318470000000001,NA,0.031847,0.0254770000000001,0.305732,0.070063,0.0445859999999999,0.0764330000000001,0.203822,0.031846,0.025477,0.025478,0.324841,0.031848,0.732484,0.025477,0.025477,0.0254770000000001,0.019108,0.019109,0.025478,0.407643,0.0254770000000001,0.025477,0.012738,0.0445870000000001,0.32484,NA,0.0891719999999999,0.292993,0.0254780000000001,0.324841,0.0127390000000001,0.0191079999999999,0.025477,0.324841,0.025478,0.025477,0.0509549999999999,0.044586,0.031847,0.076434,0.401274,0.025477,0.0955410000000001,0.050956,0.025478,0.050956,0.031847,0.0254780000000001,NA,0.031847,0.0509549999999999,0.0254770000000001,0.32484,0.292994,0.025478,NA,0.21656,0.044586,0.45223,0.031847,0.025478,0.050955,0.050956,0.025477,0.0254780000000001,0.044586,0.0254779999999999,0.0318479999999999,0.031847,0.044586,0.0254780000000001,0.318471,0.0254789999999999,0.031847,0.152866,0.031847,0.038217,0.031846,0.10828,0.044586,NA,0.32484,0.0509549999999999,0.0254770000000001,0.031847,0.025477,0.248408,0.299363,0.617833,0.095541,0.210191,0.025477,0.0828030000000001,0.038217,0.025477,0.0254769999999999,0.0254770000000001,0.10828,0.025478,0.0254770000000001,0.044587,0.025478,0.025477,0.0191080000000001,0.0254779999999999,0.0636940000000001,0.025478,0.057324,0.0509550000000001,0.0382160000000001,0.318471,0.050955,0.031847,0.178344,0.044586
ALICUT_EOG502V72,NA,0.270731,0.234146,0.0158539999999999,0.012195,0.0817080000000001,0.115854,0.0231699999999999,NA,NA,0.710975,0.017073,0.045121,0.52561,0.0902439999999999,NA,NA,0.12439,0.584147,0.658537,NA,0.017073,0.082927,0.029268,0.17439,0.112195,NA,NA,0.926829,0.07683,0.046341,0.178048,0.45,0.017073,0.017072,0.112195,0.457317,0.87439,0.017073,0.195122,0.0768290000000001,NA,0.015854,0.7,0.0182930000000001,0.0280489999999999,0.018293,NA,0.375609,0.137804,0.45,0.013415,0.04756,0.0817080000000001,NA,0.421951,0.902439,0.110976,0.523171,0.671952,0.696341,0.734146,0.486586,0.485366,0.295122,0.637805,0.017074,0.45,0.554878,0.564635,0.108537,0.217074,0.0182920000000001,0.017072,0.045122,0.073171,0.019512,0.902438,0.547561,0.943903,NA,0.818292,0.260976,0.213415,0.634146,0.019512,0.345122,NA,0.574389,0.0170739999999999,0.454878,0.0451219999999999,0.259756,0.045122,0.046341,0.07561,0.07683,0.0182930000000001,0.584146,0.019512,0.681707,0.043903,0.818293,0.77439,0.732926,0.110976,0.45,0.043902,0.02561,0.813414,0.208536,0.848779,0.504877,NA,0.45122,0.740244,NA,0.704879,0.020732,NA,0.0451230000000001,0.014634,0.719512,0.285365,0.0170729999999999,0.504878,0.0585360000000001,0.0463419999999999,0.332926,0.9,NA,0.119512,0.052439,0.0207319999999999,0.075609,0.182927,0.452439,0.237805,0.0182920000000001,0.112196,0.469513,0.045122,0.04878,0.72439
ALICUT_EOG502V73,0.595402,0.806896,0.909196,0.05977,0.0885060000000001,0.0965509999999999,0.772414,0.044828,0.37931,0.563219,0.610344,0.0160919999999999,0.773563,0.733333,0.097701,0.587357,0.834483,0.597701,0.777011,0.929885,NA,0.014942,0.506895,0.034483,0.443679,0.904598,0.796551,0.564367,NA,0.436782,0.781608,0.0195400000000001,0.616092,0.803448,0.013794,0.92069,0.316092,0.919541,0.56092,0.583909,NA,NA,NA,NA,0.562069,0.033333,0.832184,0.565517,0.789656,0.76092,0.725287,0.08908,0.751724,0.222989,NA,0.701149,0.603447,0.672414,0.742528,0.827587,0.661495,0.456322,0.656322,0.813793,0.918391,0.750575,0.151724,0.581608,0.905747,0.452873,0.078161,0.55862,0.277011,0.0160920000000001,0.687356,0.458621,0.014943,NA,0.780461,NA,0.906896,0.513794,0.718391,0.50115,0.842529,0.014942,0.616092,NA,NA,0.0160920000000001,0.910345,0.4,0.775861,0.47816,0.756322,0.437931,0.682759,0.419541,0.077012,0.0137920000000001,0.628736,0.524139,0.017242,NA,0.790805,0.670115,NA,0.113793,0.877012,NA,0.148275,0.503449,0.849426,0.863219,NA,0.934482,NA,NA,0.747126,0.952873,0.608046,0.512644,0.703448,0.649425,0.168966,0.295403,0.288506,0.367817,0.710345,0.616092,NA,0.875861,0.029885,0.028735,0.58046,0.757471,0.837931,0.593104,0.682758,0.836782,0.61839,0.503448,0.857471,0.696551
ALICUT_EOG502V7T,NA,0.064515,0.022581,0.019355,0.019355,0.02258,0.0225809999999999,0.019355,0.022581,0.0225809999999999,0.019354,0.019355,0.019355,0.109677,0.02258,NA,0.0193540000000001,0.025807,0.0806439999999999,0.0483870000000001,0.0677410000000001,0.0193549999999999,0.1,0.019355,0.0225819999999999,0.087097,0.0193540000000001,0.02258,0.554839,0.02258,0.0225799999999999,0.129032,0.019354,0.019355,0.016129,0.0225810000000001,0.06129,0.019355,0.019356,0.0193549999999999,0.048387,NA,0.019355,0.022581,0.0129030000000001,0.0193539999999999,0.019355,0.019356,0.0193550000000001,0.0225810000000001,0.022581,0.016128,0.077419,0.019355,0.070967,0.0225799999999999,0.0645159999999999,0.019354,0.393549,0.0193549999999999,0.019355,0.0225800000000001,0.087097,0.106451,0.019355,0.31613,0.019355,0.0193549999999999,0.0258059999999999,0.209678,0.019355,0.0225799999999999,0.151613,0.022581,0.029032,0.0193549999999999,0.093548,0.267742,0.025807,0.0419349999999999,0.019356,0.325806,0.0193550000000001,0.019354,0.329032,0.019355,0.019354,0.496774,0.025806,0.019355,0.025807,0.0225819999999999,0.025807,0.02258,0.022581,NA,0.02258,0.019354,0.02258,0.019354,0.0193549999999999,0.019354,0.087097,0.632258,0.019354,0.019355,0.122581,0.0225810000000001,0.0258059999999999,0.0741930000000001,0.019355,0.109677,0.0838709999999999,0.393548,NA,0.23871,NA,0.719356,0.019355,0.680645,0.019355,0.0806450000000001,0.841935,0.019355,0.019355,0.019354,0.02258,0.0225810000000001,0.022581,0.448388,0.335484,0.022581,0.019355,0.0193549999999999,0.019355,0.019354,0.0258069999999999,0.109677,0.0193550000000001,0.022581,0.187097,0.0193549999999999,0.025806,0.012903
ALICUT_EOG502V7Z,0.045686,0.0279190000000001,0.035534,0.032995,0.0329950000000001,0.0532990000000001,0.0279189999999999,0.055838,0.02792,0.0329940000000001,0.667513,0.0329950000000001,0.487309,0.538071,0.0329950000000001,NA,0.0304569999999999,0.0558380000000001,0.0558379999999999,0.0812169999999999,0.038071,0.032995,0.401016,0.0380710000000001,0.030457,0.17259,0.467005,NA,NA,0.030457,0.032994,0.030456,0.032994,0.0329949999999999,0.027918,0.172589,0.027919,0.030456,0.0406089999999999,0.0304570000000001,0.0304570000000001,0.626904,0.030457,0.030457,0.027919,0.0482239999999999,0.063451,0.045686,0.261422,0.170051,0.352793,0.167513,0.035533,0.030456,0.609137,0.032995,0.0329949999999999,0.0456859999999999,0.175127,NA,0.048223,0.170051,0.030457,0.0279199999999999,0.0304569999999999,0.611675,0.225888,0.0406089999999998,0.0279189999999999,0.0304579999999999,0.626903,0.205584,0.043146,0.038071,0.0304560000000001,0.048224,0.0431469999999999,0.327412,0.030456,0.595177,0.045686,0.0304579999999999,0.030456,0.030458,0.890862,0.050761,0.045685,0.0355329999999999,0.728427,0.032995,0.032996,0.0304559999999999,0.060913,0.030457,0.0304569999999999,0.0329950000000001,0.027918,0.0304570000000001,0.0989850000000001,0.038071,0.035533,0.030456,0.043148,0.677665,0.225889,0.0329949999999999,0.611675,0.177665,0.035533,0.756345,0.0304570000000001,0.030456,0.032995,NA,0.548223,0.291878,NA,0.32995,0.0456850000000001,0.761422,0.0304560000000001,0.063452,0.370558,0.043147,0.040609,0.02792,0.0761430000000001,0.035533,0.0380720000000001,0.030457,NA,0.109137,0.0482229999999999,0.030457,0.050762,0.030457,0.0329949999999999,0.0279190000000001,0.0279190000000001,0.0304569999999999,0.0380719999999999,0.030456,0.030458,0.35533
ALICUT_EOG502V81,0.410404,0.0905590000000001,0.0404629999999999,0.0289010000000001,0.0404630000000001,0.025049,0.352601,0.0327549999999999,0.044317,0.206166,NA,0.028901,0.025048,0.54528,0.025048,NA,0.0905590000000001,0.522157,0.726396,0.560693,0.456647,0.0289010000000001,0.406552,0.032755,0.0289019999999999,0.048169,0.0404619999999999,0.082851,NA,0.03661,0.07129,0.025049,0.028901,0.028902,0.055877,0.025048,0.341041,0.082852,0.194605,0.171484,0.086705,NA,0.01734,NA,0.194605,0.028902,0.032755,0.025047,0.0635829999999999,0.0250480000000001,0.0674370000000001,0.0404619999999999,0.229287,0.0635829999999999,0.028902,0.067436,0.144509,0.433526,0.159923,0.406551,NA,0.236993,0.12524,0.0558770000000001,0.078998,0.456647,0.526011,0.075145,0.202312,0.0481689999999999,0.0250480000000001,0.568402,0.082852,0.10212,0.0250480000000001,0.0712910000000001,0.025048,NA,0.0443149999999999,0.302504,0.0250489999999999,0.0250479999999999,0.39499,0.687862,0.680155,0.025048,0.0250479999999999,0.402697,0.0327550000000001,0.0250479999999999,0.036608,0.0905590000000001,0.0597299999999999,0.025049,0.036608,NA,0.063584,0.032756,0.0443170000000001,0.025048,0.55684,0.32948,NA,0.314064,NA,0.078998,0.425819,0.0366079999999999,0.040462,0.614643,0.025048,0.179191,0.055877,0.691714,0.379576,0.0404619999999999,NA,NA,0.115607,0.849711,0.0289009999999999,0.726397,0.495184,0.287091,0.028902,0.0481690000000001,0.075144,0.0250480000000001,0.055877,0.591521,0.071292,0.082851,0.0289010000000001,0.078998,0.025048,0.0250480000000001,0.025047,0.075145,0.078999,0.082851,0.044316,0.025049,0.0250479999999999,0.290944
ALICUT_EOG505QG6,0.711764,0.123529,0.707844,0.121568,0.096079,0.439216,0.376471,0.133333,0.37255,0.533333,0.666666,0.0411759999999999,0.84902,NA,0.22353,NA,0.34902,0.511765,0.435295,0.507844,0.919608,0.041176,0.409803,0.201961,0.429412,0.817647,0.741176,0.382353,NA,0.429412,0.078432,0.033334,0.545098,0.335295,0.410784,0.403921,0.286275,0.886274,0.109804,0.039216,0.429411,NA,NA,NA,0.305882,0.135295,0.292157,0.901961,0.294117,0.578431,0.896079,0.096078,0.305883,0.0607849999999999,0.764706,0.437255,0.660784,0.037255,0.717647,0.831373,NA,0.77647,0.499999,0.558823,0.084314,0.578432,0.0450969999999999,0.576471,0.301962,0.307843,0.211765,0.435294,0.088235,0.04902,0.0431369999999999,0.407843,0.0960779999999999,0.711764,0.533333,NA,0.645098,0.829412,0.723529,0.076471,0.774511,0.537255,0.635294,NA,0.564705,0.041176,0.435295,0.143136,0.535294,0.384314,0.237254,0.041177,0.631373,0.429412,0.464706,0.10196,0.313726,0.472549,0.447059,NA,0.529412,0.470589,0.603922,0.331372,0.376471,NA,0.621569,0.413725,0.843138,NA,NA,NA,0.829412,NA,0.429412,0.758825,0.513726,0.443136,0.835294,0.354902,0.0450979999999999,0.04902,0.345098,0.084313,0.147058,0.784313,NA,0.394118,0.339216,0.0823520000000001,0.429413,0.37647,0.841176,0.741176,0.303921,0.431373,0.864706,0.031373,0.22353,0.380392
